gene_id	flower_buds_FPKM	young_pods_FPKM	young_trifoliates_FPKM	flowers_FPKM	stem_10_FPKM	nodules_FPKM	root_19_FPKM	stem_19_FPKM	green_mature_pods_FPKM	leaves_FPKM	root_10_FPKM
Phvul.008G247600	2.837E+00	5.050E+01	0.000E+00	7.222E+00	3.419E-01	3.525E-01	7.287E-01	2.879E-02	5.134E+02	0.000E+00	3.722E+00
Phvul.008G247700	0.000E+00	1.007E-01	0.000E+00	0.000E+00	0.000E+00	1.401E-01	2.336E-01	0.000E+00	0.000E+00	0.000E+00	6.506E-01
Phvul.008G247800	1.570E+01	1.460E+01	1.356E+01	5.816E+00	1.042E+01	1.552E+01	1.170E+01	1.255E+01	6.493E+00	7.715E+00	1.207E+01
Phvul.008G247900	0.000E+00	6.824E-01	0.000E+00	0.000E+00	0.000E+00	8.895E-02	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
Phvul.008G248000	9.662E+00	1.276E-01	1.529E+00	5.209E-01	4.152E-01	2.618E-02	0.000E+00	3.822E-01	0.000E+00	5.549E+00	5.750E-01
Phvul.008G248100	3.402E+00	5.810E+00	5.109E+00	3.220E+00	5.665E+00	6.329E+00	5.969E+00	5.385E+00	1.201E+01	6.196E+00	5.750E+00
Phvul.008G248200	1.459E+00	7.135E+00	2.295E+00	1.036E+01	9.282E+00	1.924E+01	1.411E+01	1.052E+01	9.746E+00	4.574E+00	1.813E+01
Phvul.008G248300	3.668E-01	1.973E+00	1.245E+00	5.541E-01	1.745E+00	4.161E-01	9.842E-01	2.256E+00	5.018E-01	8.400E-01	1.090E+00
Phvul.008G248400	3.176E+00	7.829E-01	2.429E+00	4.736E-01	5.201E+00	1.644E+00	6.208E+00	1.829E+01	1.555E-01	1.309E+00	5.699E+00
Phvul.008G248500	3.873E-01	4.501E+00	2.259E+00	1.332E+00	8.868E-01	1.218E+00	2.474E+00	1.028E+00	0.000E+00	6.643E-02	2.909E+00
Phvul.008G248600	0.000E+00	0.000E+00	0.000E+00	5.081E-02	0.000E+00	1.153E-01	8.376E-02	0.000E+00	1.087E-01	0.000E+00	3.064E-02
Phvul.008G248700	2.522E+00	1.268E+01	1.726E+00	1.919E+00	1.306E+00	2.010E+00	2.674E+00	1.678E+00	2.224E-01	1.250E-01	1.939E+00
