# This file contains all markers associated with the QTLs courtesy Sassoum Lo, UC-Riverside
TaxonID	3920
2_52480	CFt9
2_47254	CFt9
2_21235	CFt9
2_18573	CFt9
2_30728	CFt9
2_44550	CFt9
2_01369	CFt9
2_21672	CFt9
2_40660	CFt9
2_49248	CFt9
2_11123	CFt9
1_0517	CFt9
2_48491	CFt9
2_40011	CFt9
2_47903	CFt9
2_03945	CFt9
2_04331	CFt9
2_04515	CFt9
2_10024	CFt9
2_10026	CFt9
2_10674	CFt9
2_10871	CFt9
2_10872	CFt9
2_11952	CFt9
2_18645	CFt9
2_22653	CFt9
2_23950	CFt9
2_24275	CFt9
2_28803	CFt9
2_46956	CFt9
2_53615	CFt9
1_1008	CFt9
2_02909	CFt9
2_02910	CFt9
2_04690	CFt9
2_04691	CFt9
2_09546	CFt9
2_11575	CFt9
2_11576	CFt9
2_14180	CFt9
2_14181	CFt9
2_16430	CFt9
2_17693	CFt9
2_19330	CFt9
2_27973	CFt9
2_51470	CFt9
2_53750	CFt9
2_27971	CFt9
2_01863	CFt9
2_04330	CFt9
2_10025	CFt9
2_18644	CFt9
2_19088	CFt9
2_20615	CFt9
2_20781	CFt9
2_24276	CFt9
2_38674	CFt9
2_04689	CFt9
2_09545	CFt9
2_10778	CFt9
2_15870	CFt9
2_17694	CFt9
2_20067	CFt9
2_20068	CFt9
2_23603	CFt9
2_28871	CFt9
2_31856	CFt9
2_33113	CFt9
2_49208	CFt9
2_04516	CFt9
2_47914	CFt9
2_44245	CFt9
2_22038	CFt9
2_10720	CFt9
2_14698	CFt9
2_22586	CFt9
2_06811	CFt9
2_33291	CFt9
2_40926	CFt9
2_13932	CFt9
2_00736	CFt9
2_02888	CFt9
2_05193	CFt9
2_10254	CFt9
2_13326	CFt9
2_13696	CFt9
2_19709	CFt9
2_24137	CFt9
2_39575	CFt9
2_39979	CFt9
2_49148	CFt9
2_55044	CFt9
2_19332	CFt9
2_00735	CFt9
2_00737	CFt9
2_00738	CFt9
2_02887	CFt9
2_05106	CFt9
2_05194	CFt9
2_13325	CFt9
2_24138	CFt9
2_26661	CFt9
2_26662	CFt9
2_29515	CFt9
2_03006	CFt9
2_03007	CFt9
2_09086	CFt9
2_16050	CFt9
2_23839	CFt9
2_25345	CFt9
2_31268	CFt9
2_39885	CFt9
2_50093	CFt9
2_54727	CFt9
2_14979	CFt9
2_29913	CFt9
2_20965	CFt9
2_05951	CFt9
2_29349	CFt9
2_32302	CFt9
2_38894	CFt9
2_47107	CFt9
2_48395	CFt9
2_54586	CFt9
2_04844	CFt9
2_22790	CFt9
2_31600	CFt9
2_02744	CFt9
2_12106	CFt9
2_15123	CFt9
2_20441	CFt9
2_25659	CFt9
2_25805	CFt9
2_28981	CFt9
2_29199	CFt9
2_29963	CFt9
2_33320	CFt9
2_41547	CFt9
2_42548	CFt9
2_02745	CFt9
2_03721	CFt9
2_13414	CFt9
2_15124	CFt9
2_18972	CFt9
2_25660	CFt9
2_28759	CFt9
2_25804	CFt9
2_23112	CFt9
2_25114	CFt9
2_28466	CFt9
2_31805	CFt9
2_01575	CFt9
2_01576	CFt9
2_03581	CFt9
2_09211	CFt9
2_14424	CFt9
2_48743	CFt9
2_29554	CFt9
2_03582	CFt9
2_05196	CFt9
2_05422	CFt9
2_05423	CFt9
2_54319	CFt9
2_08617	CFt9
2_34225	CSw1
2_26865	CSw1
2_17042	CSw1
2_20247	CSw1
2_21302	CSw1
2_26866	CSw1
2_28714	CSw1
2_33537	CSw1
2_47242	CSw1
2_50685	CSw1
2_51882	CSw1
2_07684	CSw1
2_19195	CSw1
2_21316	CSw1
2_21317	CSw1
2_27584	CSw1
2_29388	CSw1
2_47499	CSw1
2_49296	CSw1
2_50556	CSw1
2_03398	CSw1
2_23240	CSw1
2_23241	CSw1
2_47454	CSw1
2_17838	CSw1
2_05224	CSw1
2_26679	CSw1
2_04836	CSw1
2_04935	CSw1
2_17727	CSw1
2_19804	CSw1
2_20634	CSw1
2_22127	CSw1
2_23528	CSw1
2_26578	CSw1
1_1013	CSw1
2_12879	CSw1
2_22126	CSw1
2_23527	CSw1
2_26276	CSw1
2_26580	CSw1
2_28094	CSw1
2_33170	CSw1
2_32434	CSw1
2_07364	CSw1
2_08538	CSw1
2_32768	CSw1
2_33120	CSw1
2_42795	CSw1
2_07232	CSw1
2_22167	CSw1
2_24263	CSw1
2_49521	CSw1
2_43938	CSw1
2_16620	CSw1
2_24262	CSw1
2_31705	CSw1
2_45298	CSw1
2_18873	CSw1
2_00434	CSw1
2_32443	CSw1
2_31332	CSw1
2_27087	CSw1
2_05299	CSw1
2_16279	CSw1
2_21894	CSw1
2_19762	CSw1
2_33022	CSw1
2_36889	CSw1
2_33902	CSw1
2_52769	CSw6
2_02389	CSw6
